Symbol|Security Name|Market Category|Test Issue|Financial Status|Round Lot Size|ETF|NextShares
AAAU|Goldman Sachs Physical Gold ETF Shares|P|AAAU|Y|100|N|AAAU
AAA|Listed Funds Trust AAF First Priority CLO Bond ETF|P|AAA|Y|100|N|AAA
AAC.U|Ares Acquisition Corporation Units, each consisting of one Class A ordinary share, and one-fifth of one redeemable warrant|N|AAC.U|N|100|N|AAC=
AAC.W|Ares Acquisition Corporation Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50|N|AAC.WS|N|100|N|AAC+
AACG|ATA Creativity Global - American Depositary Shares, each representing two common shares|G|N|N|100|N|N
AACQU|Artius Acquisition Inc. - Unit consisting of one ordinary share and one third redeemable warrant|S|N|N|100|N|N
AACQW|Artius Acquisition Inc. - Warrant|S|N|N|100|N|N
AACQ|Artius Acquisition Inc. - Class A Common Stock|S|N|N|100|N|N
AAC|Ares Acquisition Corporation Class A Ordinary Shares|N|AAC|N|100|N|AAC
AADR|AdvisorShares Dorsey Wright ADR ETF|P|AADR|Y|100|N|AADR
AAIC$B|Arlington Asset Investment Corp 7.00% |N|AAICpB|N|100|N|AAIC-B
AAIC$C|Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   |N|AAICpC|N|100|N|AAIC-C
AAIC|Arlington Asset Investment Corp Class A (new)|N|AAIC|N|100|N|AAIC
AAL|American Airlines Group, Inc. - Common Stock|Q|N|N|100|N|N
AAMC|Altisource Asset Management Corp Com|A|AAMC|N|100|N|AAMC
AAME|Atlantic American Corporation - Common Stock|G|N|N|100|N|N
AAN|Aarons Holdings Company, Inc. Common Stock |N|AAN|N|100|N|AAN
AAOI|Applied Optoelectronics, Inc. - Common Stock|G|N|N|100|N|N
AAON|AAON, Inc. - Common Stock|Q|N|N|100|N|N
AAPL|Apple Inc. - Common Stock|Q|N|N|100|N|N
AAP|Advance Auto Parts Inc Advance Auto Parts Inc W/I|N|AAP|N|100|N|AAP
AAQC.U|Accelerate Acquisition Corp. Units, each consisting of one Class A common stock, and one-third of one redeemable warrant|N|AAQC.U|N|100|N|AAQC=
AAT|American Assets Trust, Inc. Common Stock|N|AAT|N|100|N|AAT
AAU|Almaden Minerals, Ltd. Common Shares|A|AAU|N|100|N|AAU
AAWW|Atlas Air Worldwide Holdings - Common Stock|Q|N|N|100|N|N
AAXJ|iShares MSCI All Country Asia ex Japan Index Fund|G|N|N|100|Y|N
AA|Alcoa Corporation Common Stock |N|AA|N|100|N|AA
ABBV|AbbVie Inc. Common Stock|N|ABBV|N|100|N|ABBV
ABB|ABB Ltd Common Stock|N|ABB|N|100|N|ABB
ABCB|Ameris Bancorp - Common Stock|Q|N|N|100|N|N
ABCL|AbCellera Biologics Inc. - Common Shares|Q|N|N|100|N|N
ABCM|Abcam plc - American Depositary Shares|Q|N|N|100|N|N
ABC|AmerisourceBergen Corporation Common Stock|N|ABC|N|100|N|ABC
ABEO|Abeona Therapeutics Inc. - Common Stock|S|N|N|100|N|N
ABEQ|Absolute Core Strategy ETF|P|ABEQ|Y|100|N|ABEQ
ABEV|Ambev S.A. American Depositary Shares (Each representing 1 Common Share)|N|ABEV|N|100|N|ABEV
ABGI|ABG Acquisition Corp. I - Class A Ordinary Shares|S|N|N|100|N|N
ABG|Asbury Automotive Group Inc Common Stock|N|ABG|N|100|N|ABG
ABIO|ARCA biopharma, Inc. - Common Stock|S|N|N|100|N|N
ABMD|ABIOMED, Inc. - Common Stock|Q|N|N|100|N|N
ABM|ABM Industries Incorporated Common Stock|N|ABM|N|100|N|ABM
ABNB|Airbnb, Inc. - Class A Common Stock|Q|N|N|100|N|N
ABR$A|Arbor Realty Trust Preferred Series A|N|ABRpA|N|100|N|ABR-A
ABR$B|Arbor Realty Trust Cumulative Redeemable Preferred Series B|N|ABRpB|N|100|N|ABR-B
ABR$C|Arbor Realty Trust Cumulative Redeemable Preferred Series C|N|ABRpC|N|100|N|ABR-C
ABR|Arbor Realty Trust Common Stock|N|ABR|N|100|N|ABR
ABST|Absolute Software Corporation - Common Stock|Q|N|N|100|N|N
ABTX|Allegiance Bancshares, Inc. - Common Stock|G|N|N|100|N|N
ABT|Abbott Laboratories Common Stock|N|ABT|N|100|N|ABT
ABUS|Arbutus Biopharma Corporation - Common Stock|Q|N|N|100|N|N
AB|AllianceBernstein Holding L.P.  Units|N|AB|N|100|N|AB
ACACU|Acies Acquisition Corp. - Unit|S|N|N|100|N|N
ACACW|Acies Acquisition Corp. - Warrant|S|N|N|100|N|N
ACAC|Acies Acquisition Corp. - Class A Ordinary Share|S|N|N|100|N|N
ACAD|ACADIA Pharmaceuticals Inc. - Common Stock|Q|N|N|100|N|N
ACAHU|Atlantic Coastal Acquisition Corp. - Unit|S|N|N|100|N|N
ACA|Arcosa, Inc. Common Stock |N|ACA|N|100|N|ACA
ACBAU|Ace Global Business Acquisition Limited - Unit|S|N|N|100|N|N
ACBI|Atlantic Capital Bancshares, Inc. - Common Stock|Q|N|N|100|N|N
ACB|Aurora Cannabis Inc. Common Shares|N|ACB|N|100|N|ACB
ACCD|Accolade, Inc. - common stock|Q|N|N|100|N|N
ACCO|Acco Brands Corporation Common Stock|N|ACCO|N|100|N|ACCO
ACC|American Campus Communities Inc Common Stock|N|ACC|N|100|N|ACC
ACEL|Accel Entertainment, Inc. |N|ACEL|N|100|N|ACEL
ACER|Acer Therapeutics Inc. - Common Stock|S|N|N|100|N|N
ACES|ALPS Clean Energy ETF|P|ACES|Y|100|N|ACES
ACET|Adicet Bio, Inc. - Common Stock|G|N|N|100|N|N
ACEVU|ACE Convergence Acquisition Corp. - Unit|S|N|N|100|N|N
ACEVW|ACE Convergence Acquisition Corp. - Warrant|S|N|N|100|N|N
ACEV|ACE Convergence Acquisition Corp. - Class A Ordinary Shares|S|N|N|100|N|N
ACGLO|Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F|Q|N|N|100|N|N
